Rank	Feature name	p-value	q-value	Direction	FeatureSum (%)	T2D metformin+ vs T2D metformin- q-value	ND CTRL vs T2D metformin- q-value	Superkingdom	Phylum	Class	Order	Family	Genus	Species
8	Cluster1603	7.14E-06	0.000308831	NoDiab > Metf = DT2	0.133027109	0.20836082	2.38E-05	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	unnamed butyrate-producing bacterium SS3_4
14	Cluster1447	8.89E-05	0.002183421	Metf = NoDiab>>>DT2	0.045795977	0.201355174	6.68E-05	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus
9	Cluster1631	1.00E-05	0.00038528	NoDiab>>>DT2 = Metf	0.547281672	0.4182656	0.000660367	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis
11	Cluster1393	4.27E-05	0.001341759	Metf>>>NoDiab>>>DT2	0.00770698	0.574336326	0.000844742	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus
28	motu_linkage_group_295	0.001805827	0.021795764	Metf = NoDiab>> DT2	0.153040028	0.156494307	0.00160996	Bacteria	?	?	?	?	?	?
6	motu_linkage_group_490	2.10E-06	1.21E-04	NoDiab>>>Metf = DT2	0.358680685	0.210844324	0.005608247	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	?
18	motu_linkage_group_190	0.00020476	0.003935938	NoDiab>> DT2 = Metf	0.229009741	0.507054334	0.007282612	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	?
4	motu_linkage_group_348	2.70E-09	2.33E-07	DT2>> NoDiab>>>Metf	0.145017604	0.041025681	0.00760477	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
23	motu_linkage_group_646	0.000664699	0.009668017	NoDiab > Metf = DT2	0.07492571	0.609965182	0.009638487	Bacteria	Firmicutes	Clostridia	Clostridiales	bp_Clostridiales	bp_Clostridiales	butyrate-producing bacterium SS3_4
24	Cluster1278	0.000670614	0.009668017	DT2 = Metf > NoDiab	0.018463654	0.404955825	0.010126258	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unnamed Clostridium sp. HGF2
75	Cluster1087	0.025714504	0.118629579	Metf = NoDiab > DT2	0.059520034	0.633414513	0.010727883	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella xylaniphila
41	Cluster1632	0.005259744	0.044387111	NoDiab = Metf = DT2	0.695216443	0.734129661	0.011011266	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans
12	motu_linkage_group_246	4.99E-05	0.001438751	DT2 = Metf>>>NoDiab	0.388493592	0.812353042	0.011575669	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
48	Cluster1599	0.007047984	0.050804217	DT2 = Metf = NoDiab	0.009445891	0.578459787	0.011959571	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	unnamed Clostridiales bacterium 1_7_47FAA
15	Cluster1595	9.47E-05	0.002183421	NoDiab>> Metf = DT2	0.793008563	0.316862666	1.35E-02	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	butyrate-producing bacterium
57	Cluster1269	0.012997048	0.077545973	Metf = NoDiab > DT2	0.038453277	0.426232355	0.013898036	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Clostridium ramosum
42	Cluster1575	0.006164821	0.048964783	NoDiab = Metf = DT2	0.976375217	0.625463203	0.016859482	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
77	Cluster1467	0.027930823	0.124920694	Metf = NoDiab > DT2	0.035950087	0.53763081	0.021052587	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
7	motu_linkage_group_145	6.81E-06	0.000308831	Metf>>>NoDiab > DT2	0.090482897	0.02143718	2.14E-02	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
