Position_tree	OTU_name	Taxonomy	Relative_abundance (%)					Trend *				P value_Mann-Whitney U test			
			NCD	HFD	HFD+BBR200	HFD+BBR100	HFD+MET200	HFD+BBR200	HFD+BBR100	HFD+MET200	Kruskalwallis test	NCD vs HFD	HFD vs HFD+BBR200	HFD vs HFD+BBR100	HFD vs HFD+MET200
1	U00000081	Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia/Shigella	0.05	0.05	14.88	1.61	0.28	up	up	up	2.81E-07	0.7721	0.0001	0.0003	0.9660
2	U00237695	Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella	0.00	0.00	0.14	0.03	0.05	up	up	up	1.54E-06	NaN	0.0001	0.0060	0.0060
3	U00000494	Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella	0.15	0.17	4.60	1.40	1.41	up	up	up	8.17E-07	0.9698	0.0002	0.0006	0.0036
4	U00000407	Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter	1.64	0.25	0.00	0.00	0.29	down	down	up	1.93E-05	0.0139	0.0008	0.0008	0.6675
5	U00000484	Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Bilophila	0.01	0.00	1.95	0.04	0.00	up	up	up	3.39E-07	0.3681	0.0001	0.0779	0.3681
6	U00309840	Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Bilophila	0.00	0.00	0.25	0.01	0.00	up	up	same	2.58E-06	NaN	0.0008	0.1681	NaN
7	U00436156	Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; 	0.89	1.00	0.03	0.45	2.77	down	down	up	2.51E-06	0.7337	0.0010	0.0376	0.0140
8	U00000261	Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0.01	0.03	0.50	0.87	0.06	up	up	up	3.17E-05	0.2343	0.1460	0.0001	0.4426
9	U00000006	Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0.10	0.83	7.72	5.54	1.69	up	up	up	5.07E-06	0.0115	0.0073	0.0028	0.0452
10	U00000076	Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0.01	0.04	0.63	1.49	0.14	up	up	up	4.82E-06	0.5848	0.0435	0.0001	0.0097
11	U00000002	Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0.05	0.09	0.40	2.24	0.43	up	up	up	7.25E-06	0.4238	0.3343	0.0002	0.0028
12	U00797917	Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0.08	0.01	0.01	0.21	0.00	down	up	down	8.69E-05	0.4562	0.6704	0.0008	0.5842
13	U00800841	Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0.01	0.10	0.00	0.00	0.28	down	down	up	1.12E-04	0.2440	0.0350	0.0350	0.0931
14	U00797839	Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0.02	0.21	0.00	0.00	0.92	down	down	up	6.01E-05	0.1575	0.0060	0.0060	0.0718
15	U00459850	Bacteroidetes; Bacteroidia; Bacteroidales; ; 	0.65	0.25	0.00	0.01	0.00	down	down	down	4.21E-08	0.0140	0.0008	0.0019	0.0008
16	U00804685	Bacteroidetes; Bacteroidia; Bacteroidales; ; 	0.01	0.27	0.00	0.00	0.28	down	down	up	1.11E-06	0.0006	0.0002	0.0002	0.7333
17	U00000964	Bacteroidetes; Bacteroidia; Bacteroidales; ; 	0.23	0.09	0.00	0.00	0.08	down	down	down	4.39E-06	0.0207	0.0060	0.0187	0.7869
18	U00028067	Bacteroidetes; Bacteroidia; Bacteroidales; ; 	0.28	0.00	0.00	0.85	0.00	down	up	up	3.93E-08	0.0004	0.3681	0.0001	1.0000
19	U00453840	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	0.30	0.00	0.00	0.41	0.00	same	up	up	5.56E-07	0.0008	NaN	0.0002	0.3681
